file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
./data\56.txt,5007,811,0.6165228113440198,1.972872996300863,0.36991368680641185,0.0,0.4932182490752158,0.36991368680641185,0.2466091245376079,491.6152897657214,7,3,1.5092478421701603,4.549938347718865,309
./data\57.txt,8054,1334,0.4497751124437781,2.6986506746626686,1.1244377811094453,0.0,0.5997001499250375,0.8995502248875562,0.29985007496251875,482.6836581709146,5,2,1.4985007496251874,4.565217391304348,440
./data\58.txt,2709,446,1.345291479820628,3.811659192825112,0.672645739910314,0.0,0.0,0.672645739910314,0.4484304932735426,490.1345291479821,0,0,1.5986547085201794,4.838565022421525,201
./data\59.txt,10243,1542,0.9079118028534372,2.2697795071335927,0.648508430609598,0.19455252918287938,0.8430609597924773,0.19455252918287938,0.19455252918287938,540.402075226978,36,6,1.7120622568093384,5.156290531776913,586
./data\6.txt,7289,1052,1.1406844106463878,1.7110266159695817,1.1406844106463878,0.28517110266159695,0.38022813688212925,0.19011406844106463,0.6653992395437262,571.0076045627377,5,2,1.8640684410646389,5.467680608365019,453
./data\60.txt,6027,1001,5.694305694305695,1.1988011988011988,1.4985014985014986,0.0999000999000999,0.6993006993006993,0.999000999000999,0.3996003996003996,483.1168831168832,0,0,1.5514485514485514,4.728271728271729,416
./data\61.txt,6437,1052,1.520912547528517,3.9923954372623576,0.9505703422053232,0.0,0.7604562737642585,0.6653992395437262,0.19011406844106463,489.638783269962,6,3,1.481939163498099,4.582699619771863,359
./data\62.txt,6206,976,4.30327868852459,1.1270491803278688,0.9221311475409836,0.3073770491803279,0.10245901639344263,0.3073770491803279,0.10245901639344263,509.1188524590164,57,15,1.5655737704918034,4.931352459016393,336
./data\63.txt,6962,1043,1.0546500479386385,1.342281879194631,0.28763183125599234,0.28763183125599234,0.09587727708533077,0.28763183125599234,0.09587727708533077,543.5282837967402,27,10,1.7938638542665388,5.277085330776606,424
./data\64.txt,6213,1025,6.146341463414634,1.170731707317073,1.5609756097560976,0.1951219512195122,0.6829268292682927,0.975609756097561,0.3902439024390244,485.6585365853658,2,1,1.5590243902439025,4.743414634146341,443
./data\65.txt,4333,680,2.5,1.7647058823529411,0.7352941176470588,0.0,1.3235294117647058,0.4411764705882353,0.29411764705882354,508.52941176470586,49,17,1.636764705882353,4.938235294117647,327
